,strat,gs,s_f_equ_long,s_loss,low_equ_bal,pa_dist_mean_long,l_we,adg_exposure,avg_max_stuck,avg_hrs_stuck_avg,pa_distance_max_long,most_loss
6864,1f63c,-1.0,532245.3757591399,-1913631.392942045,0.5031817100431443,0.019500518309348742,1.0,0.2553486500929751,4.054545454545454,0.47579325345981477,0.9964822471187772,385.7255809999964
8517,e1ef9,-1.0,96983.38113693082,0.0,0.21476525985986286,1.1031211591124106,1.0,0.2552547218792409,1888.1893939393938,0.30871368975746194,5.376419945682902,4112.170042435026
6441,44968,-1.0,283272.4429352734,-398648.56579580257,0.6128737960484937,0.01442726322842855,1.0,0.25522078188710096,107.86515151515151,1.4269171617319782,0.645283435577388,1524.1626784000093
5630,afd99,-1.0,717899.2766554959,-1424399.5968451775,0.4980819088870971,0.03474409509977286,1.0,0.25487589800688687,119.49242424242425,0.349000677112441,0.9744310397163232,2270.0528450900124
1253,6f379,-1.0,284349.6326189167,0.0,0.26070243634749785,1.062606424419073,1.0,0.25437035097950883,1950.021212121212,0.2729783179833836,4.973374229709903,2828.144503180556
3884,8d76b,-1.0,265427.7349424294,-337859.38041032484,0.5813962740264386,0.01222102560617821,1.0,0.25410330512203316,120.1,0.7917593812139841,0.7734397421111784,1621.403655539
4354,0583c,-1.0,88448.20670011391,-110561.94059493055,0.8905390660133783,0.01467558451335284,0.5,0.2540062410103193,505.74393939393946,3.834546978334269,0.28483117454685686,610.5566771749998
1861,1f41d,-1.0,88448.20670011391,-110561.94059493055,0.8905390660133783,0.01467558451335284,0.5,0.2540062410103193,505.74393939393946,3.834546978334269,0.28483117454685686,610.5566771749998
7811,2829f,-1.0,89295.95647948098,-85386.59184655658,0.8283824702047901,0.010889549497393774,0.5,0.2533220169966498,118.22575757575758,0.6551945855642791,0.5361695919055173,635.5340444919947
8179,71adb,-1.0,88119.60205346593,-111374.75159338533,0.8895210825719014,0.014684599043037417,0.5,0.2529071497301739,505.74393939393946,3.846478087592301,0.2879128645277217,635.9968840340011
9050,a8ff3,-1.0,128980.73077891118,0.0,0.22583805469330367,1.076252850968284,1.0,0.25274590976086836,2062.64696969697,0.3345119821258486,5.233464018951471,4576.035444345585
5432,a1c6a,-1.0,317383.93129795976,0.0,0.27170050369067295,1.0530300372276868,1.0,0.2525936387516101,1738.9757575757574,0.5383021702386048,5.397714076426434,2620.4542460663088
7728,34be0,-1.0,877245.4959934449,-145076.9758207284,0.4470891499471796,0.1070451452810624,1.0,0.2525615267782671,435.0681818181819,0.39456885164175615,1.1774483264093212,219.21618650000096
5139,be38f,-1.0,103002.02684281609,0.0,0.540739365552925,0.6399680172852976,0.6756756756756755,0.2524480877612012,2100.468181818182,0.8295158029860841,3.258289486218797,1427.1867965169015
5268,72550,-1.0,282345.06234443217,-302627.41341836745,0.6184046873804874,0.009511310250641065,1.0,0.2524458359062615,50.592424242424244,0.43126597751982615,0.6153081361596806,2979.7504817450244
8373,364a7,-1.0,310772.46272186463,-343039.1194273949,0.5680770404662507,0.013328948935887307,1.0,0.2520757948561608,133.88787878787878,0.6511913622971992,0.7991892677804207,521.2943460999836
6692,88dc4,-1.0,150849.78278044504,0.0,0.21204687116856738,1.1647674603873879,1.0,0.2520613861052512,2217.7530303030303,0.24964164319643675,5.838421228176853,3774.1162408855375
4958,0220b,-1.0,323207.6445915677,-407819.8374291328,0.5894797385821919,0.015021812866254246,1.0,0.2520299850038644,106.2969696969697,1.5087786271163421,0.71501919473459,-34.94334670000406
1831,66c03,-1.0,77390.6481214026,0.0,0.20915206644931586,1.2780610665145629,1.0,0.25184526389786827,2069.098484848485,0.3222211563704367,6.6184888899833165,3383.3662568325094
5568,3de93,-1.0,133559.61804389764,0.0,0.22148607564258696,1.1168655967627195,1.0,0.25152607427256374,2523.9772727272725,0.7796400058717666,5.7806820368154685,3008.068434899999
622,6778e,-1.0,179452.62375497495,0.0,0.24177611740274302,0.9485316741927459,1.0,0.25093030570353797,2510.087878787879,0.34501881982140553,4.643133343210759,4517.733075270949
8431,e2e66,-1.0,435591.30550671613,-274221.34610262496,0.6151891981226547,0.01516631597206794,1.0,0.2507824078925802,154.40909090909088,1.812517211129753,0.653363173505377,1878.9892202999943
